ehri_terms	872	Jewish Communities
ehri_terms	339	Anti-Jewish orders and decrees
ehri_terms	880	Jewish emigration
ehri_terms	335	Anti-Jewish legislation
ehri_cb	798	Reichsministerium des Innern
